Fecha;year;month;day;day_name;Veh;Linea;Descripcion;Correccion;Sistema;Retraso_minutos;Causó_desalojo;Porcentaje_desalojo;Supervisor_reviso;Cat;Fiabilidad_Servicio
2018-01-20;2018;1;20;Saturday;3;1;presenta falla de fusible principal y bloqueo a 0 bar;arco en rf;resistencias de frenado;3.0;0;0.0;593;1;0
2018-03-02;2018;3;2;Friday;3;1;no se escucha anuncio de cierre puertas;se cambia microfono;radio y voceo;3.5;0;0.0;2269;1;0
2018-06-12;2018;6;12;Tuesday;3;1;pantografo replegado;se resetea cea;convertidor de auxiliares;1.0;0;0.0;915;1;0
2018-07-04;2018;7;4;Wednesday;3;1;lampara de pts en servicio enciende cuando no debe;se alinea de acoplador;acoplador;0.0;0;0.0;1285;2;0
2018-07-14;2018;7;14;Saturday;3;1;pantografo replegado;se resetea cea;convertidor de auxiliares;5.0;1;70.0;593;1;1
2018-07-30;2018;7;30;Monday;3;1;pantografo replegado;se resetea cea;convertidor de auxiliares;5.0;1;30.0;915;1;1
2018-09-16;2018;9;16;Sunday;3;1;falla voceo usuarios;se realiza cambio de alo;radio y voceo;0.0;0;0.0;289;1;0
2018-11-26;2018;11;26;Monday;3;1;pantografo replegado;no se encontro falla;convertidor de auxiliares;7.0;0;0.0;1319;1;1
2019-02-28;2019;2;28;Thursday;3;1;fuga de aire entre acopladores;se cambia boquilla de acoplador de m2;acoplador;0.0;0;0.0;289;3;0
2019-07-31;2019;7;31;Wednesday;3;1;falla de frenado y falla de cet;se borran memorias de uef;unidad electronica de frenado;5.0;0;0.0;915;1;1
2019-08-11;2019;8;11;Sunday;3;1;tercer ventilador hace mucho ruido y sexto;se ajusta malla que roza con aspa;aire acondicionado;0.0;0;0.0;2485;2;0
2019-10-19;2019;10;19;Saturday;3;1;falla de ventiladores equipo;se borraron memorias de sibas 16;unidad de control de traccion;0.0;0;0.0;915;1;0
2020-01-27;2020;1;27;Monday;3;1;falla de ventiladores de equipo;se cambia ventilador de rf;ventiladores de equipo;3.0;0;0.0;1319;1;0
2020-02-20;2020;2;20;Thursday;3;1;limpiaparabrisas no funciona;se ajusta brazo;limpiaparabrisas;0.0;0;0.0;2485;3;0
2020-04-18;2020;4;18;Saturday;3;1;voceo a usuarios no funciona;falso en caja de voceo;radio y voceo;0.0;0;0.0;1319;1;0
2020-05-25;2020;5;25;Monday;3;1;bloqueo a 0 bars;se cambia sensor de velocidad m1;sensores de velocidad;2.0;0;0.0;915;1;0
2020-10-21;2020;10;21;Wednesday;3;1;fuga de aire;se cambia regulador de puertas;puertas;3.0;1;15.0;2485;3;1
2021-01-05;2021;1;5;Tuesday;3;1;falla de compresor;se cambia oring;compresor de aire;2.0;0;0.0;1285;3;0
2021-02-03;2021;2;3;Wednesday;3;1;se desliza al frenar en ocasiones;se cambia gstf;generador de senal traccion frenado;2.0;0;0.0;915;1;0
2021-04-01;2021;4;1;Thursday;3;1;falla de convertidor de traccion;se cambian cpc;contactores;20.0;1;80.0;593;1;1
2021-11-12;2021;11;12;Friday;3;1;rechinido en balatas;se cambio unf;unidad neumatica de frenado;0.0;0;0.0;289;3;0
2022-01-18;2022;1;18;Tuesday;3;1;bloqueo a cero bars;se reparo ups twido;unidad de control de auxiliares;11.0;1;40.0;1379;1;1
2022-06-16;2022;6;16;Thursday;3;1;ruido al traccionar y olor a gas;reductor eje 5 danado;reductores;2.0;0;0.0;2269;3;0
2023-10-08;2023;10;8;Sunday;3;1;filtraciones de agua;se reparo techo en m1;bastidores y carroceria;0.0;0;0.0;2485;3;0
2024-01-19;2024;1;19;Friday;3;1;velocidad limitada;se cambia charola de ventiladores del sibas;unidad de control de traccion;0.0;0;0.0;2274;1;0
2024-03-30;2024;3;30;Saturday;3;1;reportan presencia de humo y chispas;se cambia inductancia de freno;caja de aparatos;2.0;1;70.0;3288;1;1
2024-04-13;2024;4;13;Saturday;3;1;se apaga alumbrado de usuarios y se repliega pantografo;se revsio cea y pantpgrafo no se encontro falla;convertidor de auxiliares;0.0;0;0.0;3288;1;0
2024-09-26;2024;9;26;Thursday;3;1;falla de frenado bloqueo a 32 bar;se pierde la linea 67t;unidad de control de auxiliares;0.0;0;0.0;2484;2;0
2025-03-12;2025;3;12;Wednesday;3;1;falla cet bloqueo 0 bar;se reparo cableado danado de alta y se cambio tvm s caja de aparatos;caja de aparatos;0.0;0;0.0;2485;2;0
2016-02-22;2016;2;22;Monday;4;1;pantografo replegado;se cambia rec;relevadores;4.0;1;85.0;915;1;1
2016-04-12;2016;4;12;Tuesday;4;1;puerta 6 der no cierra;se cambia cilindro;puertas;2.0;0;0.0;1285;3;0
2016-04-23;2016;4;23;Saturday;4;1;ruptor accionado sin estarlo;se corrige falso en portafusible linea 102148;interiores de vehiculo;9.0;1;40.0;257;2;1
2016-07-21;2016;7;21;Thursday;4;1;clima de cabina no enfria;en revision;aire acondicionado;0.0;0;0.0;2269;4;0
2016-10-15;2016;10;15;Saturday;4;1;clima de cabina gotea;no se encontro falla;aire acondicionado;0.0;0;0.0;2269;4;0
2017-05-16;2017;5;16;Tuesday;4;1;bloqueo a 0 y falla mayor de frenado;se cambia fuente de uef;unidad electronica de frenado;5.0;1;60.0;1319;1;1
2017-10-06;2017;10;6;Friday;4;1;bloqueo 0 bars;se cambia y ajusta pfn;presostatos;17.0;1;100.0;1319;1;1
2018-04-10;2018;4;10;Tuesday;4;1;pantografo replegado;se resetea cea;convertidor de auxiliares;8.0;0;0.0;593;1;1
2018-06-01;2018;6;1;Friday;4;1;falla vent equipo;se reseteo guardamotor;ventiladores de equipo;0.0;0;0.0;1319;1;0
2018-06-20;2018;6;20;Wednesday;4;1;primer puerta lizq no cierra se queda atorada;se cambia cilindro;puertas;3.0;1;5.0;1285;3;1
2018-06-22;2018;6;22;Friday;4;1;primer puerta lizq se queda abierta 5cm;se nivela puerta y se ajusta umbral;puertas;0.0;0;0.0;289;3;0
2018-08-10;2018;8;10;Friday;4;1;pantografo replegado;se resetea cea;convertidor de auxiliares;4.0;1;50.0;593;1;1
2018-09-14;2018;9;14;Friday;4;1;falla clima cabina condensa;limpieza turbina evaporador;aire acondicionado;0.0;0;0.0;289;4;0
2018-11-07;2018;11;7;Wednesday;4;1;pantografo replegado;se resetea cea;convertidor de auxiliares;5.0;1;30.0;915;1;1
2018-12-31;2018;12;31;Monday;4;1;falla de ventiladores de equipo;se resetea termica de mvcap;ventiladores de equipo;0.0;0;0.0;915;1;0
2019-04-12;2019;4;12;Friday;4;1;chispasos en pantografo en traccion al frenar  falla de ventilacion de equipo ;se ajusta esfuerzo de pantografo;pantografo;0.0;0;0.0;1285;3;0
2019-05-11;2019;5;11;Saturday;4;1;golpeteo en ruedas por br;se maquinan ruedas;ruedas;3.0;0;0.0;1285;2;0
2019-05-12;2019;5;12;Sunday;4;1;falla en senales de scpv y falla velocimetro;se cambia sensor de bogie remolque;sensores de velocidad;0.0;0;0.0;915;1;0
2019-05-14;2019;5;14;Tuesday;4;1;presenta bucle de seguridad activado sin bloqueo;se limpia humedad en acopladores ;acoplador;0.0;0;0.0;289;2;0
